"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","262.0","1,251.7","11.5","69.6","570.8","5.4","1.6","350.3"
"Breece Hall","NYJ","232.7","1,020.2","8.3","72.7","609.6","5.8","1.1","318.1"
"Bijan Robinson","ATL","211.1","987.7","6.1","65.3","574.2","6.1","2.3","290.3"
"Saquon Barkley","PHI","265.3","1,116.6","10.8","49.0","372.3","4.2","1.5","285.1"
"Jonathan Taylor","IND","269.4","1,219.6","10.3","36.6","289.1","1.7","1.1","257.1"
"Kyren Williams","LAR","251.9","1,168.4","11.3","34.8","258.7","2.4","1.6","256.5"
"Alvin Kamara","NO","202.9","802.7","6.4","74.1","528.3","1.9","0.9","255.8"
"Derrick Henry","BAL","266.8","1,223.5","12.3","26.6","229.3","0.6","0.9","247.2"
"Jahmyr Gibbs","DET","181.8","859.8","8.6","56.8","397.5","1.7","1.6","241.2"
"Isiah Pacheco","KC","226.2","999.5","9.6","44.8","274.8","2.0","1.6","238.7"
"Travis Etienne Jr.","JAC","236.2","931.2","9.0","48.3","385.3","1.1","0.9","238.5"
"Joe Mixon","HOU","244.1","939.0","8.6","42.7","329.9","2.9","0.8","237.1"
"De'Von Achane","MIA","160.2","868.9","7.9","44.9","351.9","3.7","0.9","235.3"
"Rachaad White","TB","218.9","867.9","7.2","51.2","399.7","2.4","1.6","231.9"
"Josh Jacobs","GB","260.2","1,044.6","9.0","35.4","283.8","0.7","1.1","223.9"
"James Cook","BUF","223.2","991.3","4.7","43.4","376.8","2.7","1.6","221.1"
"Aaron Jones","MIN","184.5","877.6","5.4","49.7","381.4","2.0","1.0","217.7"
"Kenneth Walker III","SEA","226.6","935.4","10.2","30.0","237.8","0.9","0.9","212.5"
"Austin Ekeler","WAS","139.7","585.7","6.7","50.9","445.1","2.6","2.0","205.6"
"James Conner","ARI","203.5","918.4","7.0","34.1","227.1","2.0","0.8","201.4"
"Raheem Mostert","MIA","175.1","818.6","9.9","25.7","175.2","2.1","1.0","195.1"
"J.K. Dobbins","LAC","163.8","773.0","6.0","35.7","272.9","3.1","0.9","193.5"
"Brian Robinson Jr.","WAS","193.4","811.0","5.9","31.6","286.9","3.1","1.7","191.7"
"David Montgomery","DET","208.0","891.4","9.8","22.9","172.8","0.4","0.9","188.5"
"Nick Chubb","CLE","213.5","968.7","6.0","27.5","223.4","0.8","0.8","186.1"
"Najee Harris","PIT","228.4","925.0","6.9","28.0","175.9","1.1","0.9","184.4"
"D'Andre Swift","CHI","174.2","801.6","4.6","39.9","272.5","1.7","1.0","182.8"
"Rhamondre Stevenson","NE","185.1","748.8","5.0","45.1","311.4","0.5","1.0","181.9"
"Jaylen Warren","PIT","132.7","670.7","3.5","53.1","359.3","1.2","1.6","181.4"
"Zack Moss","CIN","174.8","759.8","6.4","32.0","220.6","2.0","0.8","178.8"
"Javonte Williams","DEN","191.4","750.6","4.1","43.5","247.2","1.6","0.9","175.7"
"Ezekiel Elliott","DAL","185.6","691.7","6.2","36.5","242.7","1.5","0.9","174.4"
"Zamir White","LV","209.0","897.2","4.5","32.7","225.3","0.4","1.5","171.4"
"Tony Pollard","TEN","193.6","800.0","5.4","33.0","215.3","0.5","0.9","167.8"
"Devin Singletary","NYG","192.7","835.7","4.8","33.2","197.5","0.3","0.9","165.2"
"Tyjae Spears","TEN","131.4","568.4","3.1","45.9","360.4","1.3","0.8","163.7"
"Antonio Gibson","NE","126.9","494.2","2.9","47.8","357.0","1.6","1.6","156.5"
"Chase Brown","CIN","116.3","526.6","3.0","37.5","354.4","2.2","0.8","155.6"
"Gus Edwards","LAC","178.0","718.6","7.9","16.0","160.0","0.3","1.5","149.8"
"Jonathon Brooks","CAR","160.0","695.6","5.2","24.8","193.5","1.1","1.4","148.8"
"Tyler Allgeier","ATL","154.8","630.4","5.0","23.6","209.1","1.5","0.7","145.4"
"Jerome Ford","CLE","126.5","507.0","3.0","30.4","216.6","2.4","0.7","133.6"
"Ty Chandler","MIN","134.6","591.6","5.2","22.2","161.0","0.3","0.7","129.1"
"Zach Charbonnet","SEA","111.7","472.5","2.7","33.4","222.5","0.5","0.7","120.6"
"Jaleel McLaughlin","DEN","99.4","503.4","2.2","28.7","175.4","1.5","0.6","117.0"
