"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","92.6","998.4","7.5","0.7","236.0"
"Sam LaPorta","DET","84.0","853.2","8.3","0.1","219.0"
"Mark Andrews","BAL","71.3","861.0","9.0","0.3","211.0"
"David Njoku","CLE","69.9","820.7","6.3","1.3","187.2"
"George Kittle","SF","61.9","881.7","5.8","0.2","184.7"
"Evan Engram","JAC","84.9","761.3","4.0","0.9","183.5"
"T.J. Hockenson","MIN","78.1","791.3","4.1","0.7","180.3"
"Cole Kmet","CHI","70.9","694.2","6.5","0.2","178.7"
"Jake Ferguson","DAL","68.2","720.1","6.2","0.1","177.3"
"Kyle Pitts","ATL","62.1","855.4","4.6","0.1","175.1"
"Trey McBride","ARI","77.0","759.0","3.7","0.3","174.5"
"Dallas Goedert","PHI","65.0","700.0","4.5","0.2","161.6"
"Dalton Kincaid","BUF","70.4","685.8","4.0","0.7","161.3"
"Dalton Schultz","HOU","55.6","597.7","5.1","0.7","144.7"
"Darren Waller","NYG","60.5","668.2","2.8","0.1","143.8"
"Brock Bowers","LV","55.8","639.8","3.9","1.2","140.6"
"Pat Freiermuth","PIT","52.4","563.9","4.4","0.2","135.0"
"Tyler Conklin","NYJ","55.8","570.0","3.5","0.2","133.2"
"Hunter Henry","NE","44.0","452.6","5.4","0.1","121.4"
"Juwan Johnson","NO","44.0","469.9","5.0","0.1","120.9"
"Cade Otton","TB","48.1","502.4","3.7","0.6","119.5"
"Chigoziem Okonkwo","TEN","48.3","514.5","2.6","0.1","115.1"
"Isaiah Likely","BAL","32.3","420.2","5.1","0.1","104.6"
"Luke Musgrave","GB","42.1","432.0","3.0","0.1","103.2"
"Jonnu Smith","MIA","38.3","447.3","3.2","0.6","100.9"
"Tyler Higbee","LAR","42.4","432.8","2.3","0.1","99.0"
"Hayden Hurst","LAC","39.2","389.9","3.1","0.2","96.3"
"Noah Fant","SEA","41.1","434.8","2.0","0.1","96.1"
"Tucker Kraft","GB","36.0","371.8","2.8","0.1","89.6"
"Mike Gesicki","CIN","33.0","332.6","3.7","0.1","88.2"
"Donald Parham Jr.","LAC","28.0","293.0","5.0","0.0","87.3"
"Gerald Everett","CHI","34.8","322.9","3.2","0.1","86.2"
"Ben Sinnott","WAS","34.4","370.2","2.6","0.6","86.1"
"Zach Ertz","WAS","34.6","325.0","2.9","0.1","84.4"
"Dawson Knox","BUF","29.9","319.6","3.7","0.1","84.0"
"Greg Dulcich","DEN","31.9","400.6","1.7","0.1","82.1"
"Michael Mayer","LV","32.6","361.9","2.1","0.1","81.4"
"Tommy Tremble","CAR","25.9","245.7","3.7","0.1","72.3"
"Noah Gray","KC","28.3","292.6","2.1","0.1","70.2"
"Taysom Hill","NO","29.5","271.3","2.3","0.7","69.1"
"Brevin Jordan","HOU","18.9","265.6","3.0","0.0","63.1"
"Durham Smythe","MIA","27.4","264.7","1.4","0.0","62.4"
"Kylen Granson","IND","24.3","286.5","1.6","0.1","62.4"
"Ja'Tavion Sanders","CAR","27.0","248.0","2.0","1.0","61.8"
"Colby Parkinson","LAR","23.9","241.3","2.3","0.1","61.4"
"Daniel Bellinger","NYG","27.8","264.0","1.0","0.1","60.3"
"Adam Trautman","DEN","21.8","210.4","2.2","0.1","56.0"
"Johnny Mundt","MIN","24.1","227.3","1.6","0.1","56.0"
"Elijah Higgins","ARI","22.3","248.5","1.4","0.1","55.3"
"Brock Wright","DET","21.5","203.2","2.1","0.1","54.5"
"Josh Oliver","MIN","22.8","221.6","1.7","0.6","54.1"
"Will Dissly","LAC","22.6","211.3","1.2","0.1","50.8"
"Jelani Woods","IND","19.1","220.5","1.6","0.1","50.7"
"Connor Heyward","PIT","22.7","205.6","1.2","0.1","50.4"
"Austin Hooper","NE","21.5","201.2","1.1","0.1","47.8"
"Tanner Hudson","CIN","22.0","197.2","1.0","0.1","47.6"
"Jeremy Ruckert","NYJ","17.5","172.0","1.4","0.1","43.0"
"Mo Alie-Cox","IND","11.4","143.7","2.8","0.0","42.6"
"Teagan Quitoriano","HOU","11.0","179.0","2.0","0.0","40.9"
"Stephen Sullivan","CAR","17.1","175.5","1.0","0.1","40.8"
"Drew Sample","CIN","18.2","155.2","1.0","0.1","39.4"
"Pharaoh Brown","SEA","15.7","179.7","1.0","0.1","39.4"
"Jordan Akins","CLE","15.1","147.0","1.0","0.1","35.8"
"Foster Moreau","NO","13.4","151.1","1.2","0.1","35.4"
"Quintin Morris","BUF","11.0","119.0","2.0","0.0","34.9"
"Darnell Washington","PIT","14.1","142.7","1.0","0.1","33.9"
"Ian Thomas","CAR","14.2","144.4","0.7","0.0","32.8"
"Ben Sims","GB","11.0","93.0","2.0","0.0","32.3"
"Brenton Strange","JAC","11.9","109.6","1.4","0.0","31.4"
"Tanner McLachlan","CIN","13.0","124.0","1.0","0.0","31.4"
"Luke Schoonmaker","DAL","12.2","125.1","1.1","0.1","31.3"
"MyCole Pruitt","PIT","9.0","102.0","2.0","0.0","31.2"
"Trey Knox","MIN","12.0","125.0","1.0","0.0","30.5"
"James Mitchell","DET","12.0","124.0","1.0","0.0","30.4"
"Stone Smartt","LAC","11.0","135.0","0.9","0.0","29.9"
"Luke Farrell","JAC","12.1","123.1","0.9","0.0","29.7"
"Nick Vannett","TEN","11.0","124.0","1.0","0.0","29.4"
"Cade Stover","HOU","11.0","120.0","1.0","0.0","29.0"
"John FitzPatrick","ATL","11.0","118.0","1.0","0.0","28.8"
"Davis Allen","LAR","11.0","115.0","1.0","0.0","28.5"
"Dallin Holker","NO","11.0","113.0","1.0","0.0","28.3"
"Brayden Willis","SF","10.0","122.0","1.0","0.0","28.2"
