"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","118.4","1,528.3","9.4","12.3","83.9","0.9","1.1","339.4"
"Tyreek Hill","MIA","106.7","1,483.9","9.3","5.1","24.9","0.1","0.9","312.0"
"Amon-Ra St. Brown","DET","110.8","1,339.5","8.7","4.8","31.7","0.1","0.9","299.2"
"Justin Jefferson","MIN","105.8","1,466.6","7.1","2.5","3.7","0.1","1.0","293.7"
"Ja'Marr Chase","CIN","102.3","1,327.2","9.2","3.8","11.1","0.1","0.5","290.8"
"Puka Nacua","LAR","94.4","1,346.9","6.5","11.7","75.5","0.3","0.5","276.4"
"DJ Moore","CHI","88.1","1,241.7","9.4","3.0","16.9","0.6","0.8","272.1"
"A.J. Brown","PHI","91.0","1,309.1","8.5","0.0","0.5","0.0","1.5","270.1"
"Garrett Wilson","NYJ","90.5","1,175.4","8.1","4.2","12.3","0.1","1.5","255.8"
"Nico Collins","HOU","80.3","1,206.9","8.2","1.0","4.0","0.0","0.3","250.2"
"Chris Olave","NO","87.3","1,221.3","6.5","0.0","0.0","0.0","0.3","247.7"
"Davante Adams","LV","90.1","1,138.6","6.6","0.0","0.0","0.0","0.3","243.1"
"Mike Evans","TB","73.5","1,127.4","9.2","0.0","0.5","0.0","0.2","241.3"
"Marvin Harrison Jr.","ARI","85.8","1,161.4","6.0","1.0","6.0","0.0","1.7","235.1"
"Cooper Kupp","LAR","84.2","1,052.9","7.3","2.5","11.0","0.1","0.3","233.8"
"Stefon Diggs","HOU","88.2","1,083.7","6.4","1.5","7.9","0.0","1.0","233.8"
"Deebo Samuel Sr.","SF","64.0","955.0","5.8","35.9","193.9","3.4","0.9","232.3"
"Keenan Allen","CHI","91.2","1,017.5","6.4","2.0","9.8","0.0","0.9","231.0"
"Tank Dell","HOU","71.0","989.8","8.9","15.0","77.6","0.3","1.0","230.9"
"Michael Pittman Jr.","IND","97.3","1,081.0","4.4","0.5","5.0","0.0","1.0","230.3"
"Brandon Aiyuk","SF","73.0","1,135.8","7.4","0.5","2.0","0.0","0.8","229.5"
"DK Metcalf","SEA","69.1","1,052.5","9.1","0.0","0.5","0.0","0.3","228.6"
"Tee Higgins","CIN","70.9","1,059.3","8.7","0.0","0.0","0.0","0.3","228.1"
"DeVonta Smith","PHI","80.4","1,061.7","7.2","0.0","0.0","0.0","0.9","228.1"
"Zay Flowers","BAL","78.7","966.7","6.3","9.0","53.6","0.8","0.9","221.2"
"Jaylen Waddle","MIA","78.6","1,077.5","5.3","4.1","23.4","0.1","0.3","220.6"
"Amari Cooper","CLE","71.7","1,118.7","6.2","0.0","0.0","0.0","0.9","219.1"
"Drake London","ATL","80.9","1,042.7","5.9","0.0","0.0","0.0","0.9","219.0"
"Hollywood Brown","KC","70.1","928.9","8.7","2.1","16.2","0.0","0.2","216.7"
"DeAndre Hopkins","TEN","71.7","983.1","7.3","0.5","3.0","0.0","0.3","213.4"
"Chris Godwin","TB","79.6","950.7","5.2","3.5","25.8","0.6","0.3","211.6"
"Terry McLaurin","WAS","75.0","1,030.6","4.7","0.5","3.0","0.0","0.2","206.2"
"Malik Nabers","NYG","73.2","1,001.7","5.1","1.0","5.0","0.0","1.2","202.3"
"Christian Kirk","JAC","77.2","942.3","5.1","2.0","11.0","0.0","1.5","200.4"
"George Pickens","PIT","61.4","1,025.5","5.7","3.8","27.8","0.1","0.9","199.7"
"Jordan Addison","MIN","67.3","856.0","7.3","0.5","1.0","0.0","0.3","196.0"
"Diontae Johnson","CAR","66.6","868.7","7.0","2.1","11.5","0.0","0.4","195.9"
"Courtland Sutton","DEN","65.6","864.1","7.5","0.0","0.5","0.0","1.4","194.0"
"Jayden Reed","GB","60.1","746.0","6.5","11.3","96.0","1.8","0.4","193.4"
"Calvin Ridley","TEN","62.5","872.7","6.8","5.8","19.8","0.1","0.3","192.4"
"Tyler Lockett","SEA","73.3","844.6","5.7","0.0","0.5","0.0","0.3","191.7"
"Mike Williams","NYJ","62.9","859.2","5.6","1.0","2.5","0.0","0.2","182.3"
"Christian Watson","GB","49.3","752.3","8.3","6.2","33.0","0.7","0.3","181.0"
"Jaxon Smith-Njigba","SEA","71.6","771.1","5.3","0.0","0.0","0.0","0.3","179.5"
"Xavier Worthy","KC","56.1","846.9","6.1","3.9","23.1","0.1","1.2","178.2"
"Jakobi Meyers","LV","67.0","750.3","5.1","3.6","20.6","0.6","0.3","177.9"
"Brian Thomas Jr.","JAC","63.1","867.8","4.9","1.0","4.5","0.0","1.2","177.4"
